Sex,Age_group,n,MAE,RMSE,Coverage
Female,60-70,169,1.379712398690355,1.7348812328213936,96.6821639898563
Female,70-80,100,1.6276740838400985,2.011684816606134,96.09915917415917
Female,<60,159,1.4770645226895187,1.877398008148586,96.64570230607966
Female,>=80,23,1.961371882880907,2.415135256112901,95.32091097308488
Male,60-70,109,1.4190930045123709,1.767039335174604,97.54259501965925
Male,70-80,78,1.740113512384407,2.168557318760965,94.45156695156697
Male,<60,119,1.4746897486554764,1.8344884872358698,97.17086834733894
Male,>=80,22,1.763295427822265,2.1701565969815677,96.3961038961039
