Sex,MAE_mean,MAE_std,RMSE_mean,RMSE_std,Coverage_mean,n
Male,1.5386907651217188,1.2526064552396647,1.9140315046099086,1.6248194488109788,96.59577042198994,328
Female,1.4986776411897431,1.1308623036697472,1.8811924704959,1.4359185676999073,96.47061918126221,451
