fold,n_obs,n_subjects,MAE_direct,MAE_derived,RMSE_direct,RMSE_derived,R2_direct,R2_derived,Cov_direct,Cov_derived,IW_direct,IW_derived
0,2272,780,1.7952113962147065,2.035903430289194,2.787265552899034,3.3280723796908185,0.8554498037668976,0.7939144620173012,94.85035211267606,78.25704225352112,11.657957088690083,6.381572333406507
1,2084,780,1.6435845124309332,1.7606567415437857,2.466541932331609,2.909004748796708,0.8908203410490512,0.8481364360810533,96.3531669865643,82.62955854126679,11.688144246327345,6.409290619210796
2,2261,779,1.684993259006781,1.923215667598872,2.6265919940153384,3.198067430774169,0.8530986764157067,0.7822211452914626,95.7983193277311,80.80495356037152,11.61657132994547,6.496203452437757
3,2287,779,1.711755076395369,2.0831090551590874,2.6509993685364686,3.4488192265497006,0.874055512592348,0.7868424221940238,96.0209881941408,80.45474420638391,11.742114388335315,6.731505160117937
4,2158,779,1.6147826138539827,1.8984893740845288,2.524847855603116,3.079854721105656,0.8927805260297795,0.8404621599628677,96.10750695088045,82.29842446709917,11.656738983406408,6.8332719854542665
