Age_group,n,MAE_direct,MAE_d_std,MAE_derived,MAE_r_std
<60,1298,1.4632645187399638,1.7985108951620117,1.5494126767296197,2.140299939765908
60-70,1382,1.4942714728072124,1.6942062736079218,1.6952284074600763,2.145407917792089
70-80,950,2.007545363533385,2.3542896034042498,2.3586505376359996,2.885929556260781
>=80,267,2.0722802766802015,2.1553150067576974,2.6653192683274884,3.362701972594075
