Sex,n,MAE_direct,MAE_d_std,MAE_derived,MAE_r_std
Male,1741,1.7667507524865669,2.1349168637107323,2.0242421557606702,2.665592501007477
Female,2156,1.6326328921808853,1.8791155155148,1.8808569819893253,2.4493762266900703
