Sex,Age_group,n,MAE,RMSE,R2,Coverage
Female,60-70,169,1.4507980017050486,1.9079890916902054,-23.4288787562551,79.29557621865314
Female,70-80,100,1.701080471382019,2.194112248615684,-6461.965063599218,80.96137751137752
Female,<60,159,1.453366381063825,1.944468197415825,-151.15493696526644,81.25786163522014
Female,>=80,23,1.818126257662707,2.3574789728069248,-27.631333629126047,82.02898550724638
Male,60-70,109,1.3432586242949218,1.7842213125561424,-284.61927254076187,83.40760157273918
Male,70-80,78,1.8328158032393913,2.4823699453132004,-4.86209270417421,81.71957671957671
Male,<60,119,1.4310161125859748,1.919494349054591,-19413.81489400956,86.62264905962384
Male,>=80,22,1.8533373805312727,2.409643720142847,-6.369826422589119,75.66378066378067
