Age_group,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,Coverage_mean,n
<60,1.4437991798089178,1.2422591489795765,1.933777952973426,1.736405484305795,-8396.682040879909,83.55429941760877,278
60-70,1.408633281785251,1.0572147772399414,1.8594614372815264,1.436461659330192,-125.83806193075594,80.90784515244945,278
70-80,1.7588071898363735,1.5891983345539276,2.3204274190786403,2.2534735939923056,-3632.4480314092552,81.29362210822885,178
>=80,1.8353405843984498,1.3134591877589725,2.3829817381711536,1.67451391191339,-17.236818994819103,78.91710758377425,45
