Sex,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,Coverage_mean,n
Male,1.5257291538726767,1.3581299678446934,2.0412712444624637,1.9910153752686897,-7139.594062519216,83.65321331784746,328
Female,1.5259314145049794,1.2261112569085342,2.007214725323478,1.6080965329504606,-1496.2863470524965,80.49613480877339,451
