Sex,Age_group,n,MAE,RMSE,Coverage
Female,60-70,175,1.4746757686820489,1.8518852915790742,97.06190476190477
Female,70-80,109,1.7091373249829647,2.099177408244544,95.02978672703445
Female,<60,125,1.3227342944182903,1.6578085308437946,97.28
Female,>=80,27,1.6014585999634658,2.02834705700263,93.84920634920636
Male,60-70,110,1.3708627548079684,1.704838854302453,97.5
Male,70-80,106,2.076527506556417,2.563291641106179,91.52178796046722
Male,<60,105,1.3801108122782908,1.704054049923651,98.57142857142858
Male,>=80,23,2.176243745607361,2.7448633368698165,92.67080745341616
