Sex,MAE_mean,MAE_std,RMSE_mean,RMSE_std,Coverage_mean,n
Male,1.6449769190757166,1.2734870155039697,2.0386590695363775,1.5881283535429478,95.66202934662236,344
Female,1.4975811856509211,1.126392305084914,1.868994725732887,1.423568194706176,96.41745105047858,436
