Age_group,MAE_mean,MAE_std,RMSE_mean,RMSE_std,Coverage_mean,n
<60,1.3489279221369859,0.9833392750090756,1.6789206156411203,1.2813092298772353,97.8695652173913,230
60-70,1.4346075878885443,0.9697864062863697,1.7951305263144135,1.2756144358996402,97.23099415204679,285
70-80,1.8902692284563876,1.5371145849071324,2.327996518399582,1.8441833569831798,93.30026175375012,215
>=80,1.865859766959657,1.2400592691217067,2.3579445457415362,1.5877887853158121,93.30714285714285,50
