Sex,Age_group,n,MAE,RMSE,Coverage
Female,60-70,154,1.3872365769319825,1.717641608030636,97.97619047619047
Female,70-80,97,1.425488852649682,1.7776412118228038,96.99312714776632
Female,<60,151,1.304177046072363,1.6089472125557038,97.35099337748345
Female,>=80,23,1.7356406865334097,2.0948611487459092,97.82608695652173
Male,60-70,128,1.4955474637277895,1.846715032253615,95.96354166666666
Male,70-80,77,1.4761936167196092,1.8250232904265276,97.04840613931522
Male,<60,124,1.5241618298588266,1.8926237538444133,96.50537634408602
Male,>=80,26,2.258222218050737,2.743351422623095,91.97802197802199
