Sex,MAE_mean,MAE_std,RMSE_mean,RMSE_std,Coverage_mean,n
Male,1.778495860509277,1.3978241714770312,2.3514828664577547,1.9665281788215139,81.0966810966811,344
Female,1.573816083094559,1.2581888777621733,2.0708727663977515,1.6473095187796722,81.71795775580179,436
