Age_group,MAE_mean,MAE_std,RMSE_mean,RMSE_std,Coverage_mean,n
<60,1.374114914656682,1.0152595787823373,1.8316573337248467,1.39209311460369,85.78985507246377,230
60-70,1.487565927852939,1.0826152345593099,1.9495680093441072,1.4690816713755348,82.42606516290726,285
70-80,2.081476322456731,1.6464925027346526,2.737980202421229,2.258411386615719,76.27252592368872,215
>=80,2.2093251821419475,1.6738260964915321,2.9247363854107546,2.195921570233127,78.09199134199133,50
