Sex,Age_group,n,MAE,RMSE,Coverage
Female,60-70,175,1.5074811876985885,1.9778268525514726,82.2904761904762
Female,70-80,109,1.7828522789656418,2.331393232774722,77.94653613460952
Female,<60,125,1.329455825954273,1.7744649755203181,85.58666666666667
Female,>=80,27,2.2911751011272448,2.994475653349164,75.32186948853615
Male,60-70,110,1.4558825599166783,1.9046107587869345,82.6417748917749
Male,70-80,106,2.38855198982021,3.1560743504539572,74.551138065289
Male,<60,105,1.4272804964452643,1.8997434744445243,86.03174603174604
Male,>=80,23,2.1132404946374685,2.84286854913523,81.34387351778656
