Age_group,MAE_mean,MAE_std,RMSE_mean,RMSE_std,Coverage_mean,n
<60,1.471265366243273,1.0242137815180499,1.8279602590320625,1.3136489717193325,96.4709595959596,264
60-70,1.336515400091995,1.0600369240838534,1.6451270221351264,1.368129438479001,98.1474820143885,278
70-80,1.7067658770875023,1.3788022184685662,2.0986827640927483,1.7492846331170153,95.71949875521304,182
>=80,2.1590964767706287,1.8185907112168818,2.6834421960057164,2.1366390121990757,89.28354978354979,55
