Sex,MAE_mean,MAE_std,RMSE_mean,RMSE_std,Coverage_mean,n
Male,1.6202598627675608,1.4097480653878587,2.013102044656826,1.8052436102743268,95.23570009225747,366
Female,1.4439029636638776,1.006256988041392,1.774046140529845,1.238886282966629,97.40583804143125,413
