Sex,Age_group,n,MAE,RMSE,Coverage
Female,60-70,154,1.2842263391333404,1.5733946811611832,98.60389610389612
Female,70-80,93,1.6444774889846632,2.011563424504513,97.01015531660694
Female,<60,149,1.3670317488150547,1.696169614522561,97.98657718120806
Female,>=80,17,2.466878277507658,2.9749178880719036,83.62745098039215
Male,60-70,124,1.4014550403148407,1.734213961731798,97.58064516129032
Male,70-80,89,1.7718537433073227,2.1897175796175334,94.37083515735203
Male,<60,115,1.606315879258965,1.9987150940921985,94.5072463768116
Male,>=80,38,2.0214046185461685,2.5530451758708432,91.81390977443608
