Sex,MAE_mean,MAE_std,RMSE_mean,RMSE_std,Coverage_mean,n
Male,1.661228746065299,1.3989328250748554,2.177799242156947,1.8577055821128259,85.4696700170838,348
Female,1.7074708132437493,1.5893809095583786,2.2093077942648507,2.013331686473404,82.32890723609981,431
