Sex,Age_group,n,MAE,RMSE,R2,Coverage
Female,60-70,157,1.465772744211859,1.9119055111296037,-76.44010142407794,82.51440703670002
Female,70-80,94,2.110540659182682,2.66377826509317,-1.0222384272322886,75.84914494488963
Female,<60,146,1.5003083204578012,1.9983911377754597,-24.932415194497267,82.88812785388127
Female,>=80,34,2.2427028359614853,2.85298401546307,-6.310294332724802,85.89169000933707
Male,60-70,102,1.391427632903346,1.8401929633085836,-54.74570322509038,84.41176470588235
Male,70-80,107,1.851442989183115,2.3795752429698185,-31.429058146106687,78.82240293455247
Male,<60,105,1.5462077672306938,2.07738897672676,-1243.814527183369,84.41043083900227
Male,>=80,34,2.241971635642937,2.936345295997281,-4.956097446954037,82.02380952380953
