Age_group,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,Coverage_mean,n
<60,1.5195092842472582,1.2788388808084208,2.0314380425160437,1.7425937650448904,-534.8233385364556,83.52494782773667,251
60-70,1.4364939745073482,1.1849213958054678,1.8836635038796266,1.5180357955501214,-67.86324632215262,83.26162897591469,259
70-80,1.9726130438097782,1.6223671557197226,2.512486109037455,2.0117742340868574,-17.208953401956467,77.43192407371511,201
>=80,2.2423372358022116,2.671779186861968,2.8946646557301756,3.4498811404810956,-5.6331958898394205,83.95774976657329,68
