Age_group,MAE_mean,MAE_std,RMSE_mean,RMSE_std,Coverage_mean,n
<60,1.42506466071876,1.396529988262973,1.8954219238355707,1.91559082228871,87.43636363636364,275
60-70,1.5205848353904483,1.1802425111672148,1.99146885909761,1.5276410664316151,82.81928965439604,282
70-80,1.5309945157429563,1.1409825007895567,1.9953463719861664,1.489934293043153,83.69174089001676,174
>=80,2.225016649817884,1.4041102111674397,2.8606829915871743,1.8501702035265328,81.60349854227405,49
