Sex,Age_group,n,MAE,RMSE,Coverage
Female,60-70,154,1.4547139315491913,1.8970785341059409,83.56782106782106
Female,70-80,97,1.5756733430397194,2.053613940133877,83.30346915398462
Female,<60,151,1.2051512294800215,1.608466703317715,88.97350993377484
Female,>=80,23,2.132227089882724,2.705461238619786,81.51138716356108
Male,60-70,128,1.599835766574461,2.1050322188532125,81.91871279761904
Male,70-80,77,1.4747107982392405,1.9219443705533352,84.1808624276157
Male,<60,124,1.6928624681143214,2.244859329466186,85.56451612903227
Male,>=80,26,2.3070997220682186,2.997994542289095,81.6849816849817
