Sex,Age_group,n,MAE,RMSE,Coverage
Female,60-70,154,1.4752588018642543,1.9553701005315078,83.65800865800867
Female,70-80,93,1.7908279606496398,2.2947874396229992,79.83913637139443
Female,<60,149,1.4626381735481782,1.9577715698794942,85.26845637583892
Female,>=80,17,2.65943075169395,3.52198609887724,79.50980392156863
Male,60-70,124,1.4739008019068023,1.908753161101212,82.07661290322581
Male,70-80,89,1.7783227587977568,2.346355279345284,83.58999302819528
Male,<60,115,1.4270735598537443,1.8775789696049925,88.11594202898551
Male,>=80,38,2.238723985157346,3.0638925164167716,83.40643274853801
