Age_group,MAE_mean,MAE_std,RMSE_mean,RMSE_std,Coverage_mean,n
<60,1.4471460122797697,1.069601017632264,1.9228391871841624,1.4877621394905387,86.50883838383838,264
60-70,1.4746530752645277,1.0544844984069484,1.9345769333036058,1.4507426937094972,82.95263788968825,278
70-80,1.7847127795242685,1.458352884764215,2.320004679926754,1.8987626708538776,81.67334649477507,182
>=80,2.368760622086841,1.6099203219225142,3.2054850782681896,2.5487363980289004,82.20202020202021,55
