Sex,Age_group,n,MAE,RMSE,Coverage
Female,60-70,157,1.3713139632531852,1.6945971102997184,96.81831968456174
Female,70-80,94,1.775824388722309,2.1236902225990124,94.60528537656197
Female,<60,146,1.4763293633804855,1.8373918420751176,96.98630136986301
Female,>=80,34,1.7001288587850418,2.059648085971771,96.76470588235294
Male,60-70,102,1.2537827197078364,1.5464714266873298,99.26470588235294
Male,70-80,107,1.8727798547365717,2.286860284481928,94.91675769713154
Male,<60,105,1.2821774306953968,1.6050003925077299,97.77777777777779
Male,>=80,34,2.215783103402417,2.6837615393462535,93.13725490196077
